,gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,preSnapHomeScore,preSnapVisitorScore,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber,season,week,gameDate,gameTimeEastern,homeTeamAbbr,visitorTeamAbbr,hangTime,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,kickType
0,2018090600,366,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.",1,4,4,PHI,Punt,Return,45603.0,42450,0,0,56.0,5.0,36,18,2018,1,09/06/2018,20:20:00,PHI,ATL,4.46,C,C,C,R,N
1,2018090600,973,"(14:18) M.Bosher punts 49 yards to PHI 40, Center-J.Overbaugh, fair catch by D.Sproles.",2,4,19,ATL,Punt,Fair Catch,37267.0,29957,0,3,49.0,0.0,49,21,2018,1,09/06/2018,20:20:00,PHI,ATL,4.98,L,L,,,N
2,2018090600,1989,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",2,4,8,ATL,Punt,Return,37267.0,29957,3,6,57.0,8.0,61,36,2018,1,09/06/2018,20:20:00,PHI,ATL,4.62,C,C,C,C,N
3,2018090600,2406,"(12:33) C.Johnston punts 38 yards to ATL 20, Center-R.Lovato, fair catch by J.Hardy.",3,4,9,PHI,Punt,Fair Catch,45603.0,42450,3,6,38.0,0.0,38,68,2018,1,09/06/2018,20:20:00,PHI,ATL,4.69,C,C,,,N
4,2018090600,2599,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",3,4,16,ATL,Punt,Return,37267.0,29957,3,6,46.0,9.0,37,36,2018,1,09/06/2018,20:20:00,PHI,ATL,4.16,L,L,C,C,N
5,2018090600,3868,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",4,4,14,ATL,Punt,Return,37267.0,29957,10,12,52.0,12.0,25,81,2018,1,09/06/2018,20:20:00,PHI,ATL,4.4,C,C,C,R,N
6,2018090900,485,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",1,4,14,BUF,Punt,Return,46903.0,46532,7,0,46.0,-1.0,47,82,2018,1,09/09/2018,13:00:00,BAL,BUF,4.34,C,R,L,L,N
7,2018090900,575,"(6:37) (Punt formation) S.Koch punts 63 yards to BUF 11, Center-M.Cox. J.Kerley to BUF 15 for 4 yards (T.Bowser, C.Clark).",1,4,9,BAL,Punt,Return,31018.0,37228,7,0,63.0,4.0,59,36,2018,1,09/09/2018,13:00:00,BAL,BUF,4.2,L,L,R,R,A
8,2018090900,674,"(5:43) (Punt formation) C.Bojorquez punts 51 yards to BAL 31, Center-R.Ferguson. J.Grant to BAL 34 for 3 yards (L.Alexander).",1,4,7,BUF,Punt,Return,46903.0,46532,7,0,51.0,3.0,48,92,2018,1,09/09/2018,13:00:00,BAL,BUF,4.78,C,C,L,L,N
9,2018090900,1136,"(14:21) (Punt formation) C.Bojorquez punts 49 yards to BAL 29, Center-R.Ferguson. J.Grant to BUF 20 for 51 yards (L.Alexander).",2,4,13,BUF,Punt,Return,46903.0,46532,14,0,49.0,51.0,-2,32,2018,1,09/09/2018,13:00:00,BAL,BUF,3.62,C,C,L,L,N
10,2018090900,1360,"(12:09) (Punt formation) C.Bojorquez punts 50 yards to BAL 29, Center-R.Ferguson. J.Grant to BAL 30 for 1 yard (A.Holmes).",2,4,14,BUF,Punt,Return,46903.0,46532,17,0,50.0,1.0,49,31,2018,1,09/09/2018,13:00:00,BAL,BUF,4.52,C,C,C,C,N
11,2018090900,3079,"(8:22) (Punt formation) S.Koch punts 46 yards to BUF 31, Center-M.Cox. J.Kerley to BUF 37 for 6 yards (M.Canady).",3,4,17,BAL,Punt,Return,31018.0,37228,40,0,46.0,6.0,40,87,2018,1,09/09/2018,13:00:00,BAL,BUF,4.06,C,C,C,C,N
12,2018090900,3655,"(14:47) (Punt formation) S.Koch punts 50 yards to BUF 9, Center-M.Cox. M.Murphy to BUF 18 for 9 yards (M.Canady).",4,4,5,BAL,Punt,Return,31018.0,42573,40,3,50.0,9.0,41,51,2018,1,09/09/2018,13:00:00,BAL,BUF,4.07,L,L,R,R,N
13,2018090900,3851,"(12:05) (Punt formation) C.Bojorquez punts 54 yards to BAL 11, Center-R.Ferguson. J.Grant to BAL 11 for no gain (T.Jones).",4,4,8,BUF,Punt,Return,46903.0,46532,40,3,54.0,0.0,54,75,2018,1,09/09/2018,13:00:00,BAL,BUF,3.23,R,R,L,L,N
14,2018090900,4325,"(3:02) (Punt formation) C.Bojorquez punts 43 yards to BAL 10, Center-R.Ferguson, fair catch by J.Grant.",4,4,12,BUF,Punt,Fair Catch,46903.0,46532,47,3,43.0,0.0,43,63,2018,1,09/09/2018,13:00:00,BAL,BUF,3.8,R,R,,,A
15,2018090901,588,"(6:34) (Punt formation) B.Colquitt punts 47 yards to PIT 28, Center-C.Hughlett. R.Switzer to 50 for 22 yards (B.Boddy-Calhoun).",1,4,9,CLE,Punt,Return,34723.0,44946,0,0,47.0,22.0,25,85,2018,1,09/09/2018,13:00:00,CLE,PIT,4.02,C,C,C,C,N
16,2018090901,887,"(2:07) (Punt formation) B.Colquitt punts 52 yards to PIT 22, Center-C.Hughlett. R.Switzer to CLE 44 for 34 yards (N.Chubb). PENALTY on PIT-D.Heyward-Bey, Offensive Holding, 10 yards, enforced at PIT 22. Penalty on PIT-R.Nix, Offensive Holding, declined.",1,4,10,CLE,Punt,Return,34723.0,44946,0,0,52.0,0.0,62,84,2018,1,09/09/2018,13:00:00,CLE,PIT,4.77,C,C,R,R,N
17,2018090901,1491,"(7:39) B.Colquitt punts 39 yards to PIT 8, Center-C.Hughlett. R.Switzer to PIT 12 for 4 yards (D.Rice).",2,4,20,CLE,Punt,Return,34723.0,44946,0,7,39.0,4.0,35,63,2018,1,09/09/2018,13:00:00,CLE,PIT,3.92,L,L,C,C,A
18,2018090901,2632,"(6:18) (Punt formation) B.Colquitt punts 45 yards to PIT 41, Center-C.Hughlett. R.Switzer to CLE 39 for 20 yards (D.Kindred).",3,4,17,CLE,Punt,Return,34723.0,44946,7,14,45.0,20.0,25,96,2018,1,09/09/2018,13:00:00,CLE,PIT,3.86,C,C,L,L,N
